Gene Names (primary)	Gene Names (synonym)	Subcellular location [CC]
Afg2b	Spata5l1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9BVQ7}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q9BVQ7}. Nucleus {ECO:0000250|UniProtKB:D4A2B7}.
C4a	Slp	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P0C0L4}. Synapse {ECO:0000250|UniProtKB:P0C0L4}. Cell projection, axon {ECO:0000250|UniProtKB:P0C0L4}. Cell projection, dendrite {ECO:0000250|UniProtKB:P0C0L4}.; SUBCELLULAR LOCATION: [C4a anaphylatoxin]: Secreted {ECO:0000250|UniProtKB:P0C0L4}.; SUBCELLULAR LOCATION: [Complement C4b-A]: Secreted {ECO:0000250|UniProtKB:P0C0L4}. Cell surface {ECO:0000250|UniProtKB:P0C0L4}. Note=Covalently associated with the surface of pathogens: the internal thioester bond reacts with carbohydrate antigens on the target surface to form amide or ester bonds. {ECO:0000250|UniProtKB:P0C0L4}.
Bicdl1	Bicdr1 Ccdc64	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000305|PubMed:36071160}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:20360680}. Note=Localizes around the centrosome.
Aspg		
Isx		SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108}.
Pglyrp3	Gm420 Pgrpia	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Odam	Apin	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q3HS83}. Cytoplasm {ECO:0000250|UniProtKB:A1E959}. Nucleus {ECO:0000250|UniProtKB:A1E959}.
Fcmr	Faim3 Toso	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22988094, ECO:0000269|PubMed:25732732, ECO:0000269|PubMed:28135254}; Single-pass membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000250|UniProtKB:O60667}; Single-pass membrane protein {ECO:0000255}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:28135254}; Single-pass membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000250|UniProtKB:O60667}; Single-pass membrane protein {ECO:0000255}. Note=Continuously recycles between cytoplasmic pool and the plasma membrane to bind as much IgM as possible (By similarity). In immature B cells, colocalizes with IgM in the trans-Golgi network and plasma membrane (PubMed:28135254). {ECO:0000250|UniProtKB:O60667, ECO:0000269|PubMed:28135254}.
Mpeg1		SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000269|PubMed:26402460, ECO:0000269|PubMed:26418746, ECO:0000269|PubMed:35471730}; Multi-pass membrane protein {ECO:0000269|PubMed:32064340, ECO:0000269|PubMed:36245269}. Note=Bacterial infection induces translocation of the cytoplasmic vesicles to bacterium-containing phagocytic vesicles and fusing of the vesicles. {ECO:0000269|PubMed:26402460}.; SUBCELLULAR LOCATION: [Macrophage-expressed gene 1 protein, processed form]: Cytoplasmic vesicle, phagosome membrane {ECO:0000269|PubMed:37347855}; Multi-pass membrane protein {ECO:0000269|PubMed:32064340, ECO:0000269|PubMed:36245269}. Note=Proteolytically processed in lysosomes, leading to its maturation and forms pores in the membrane of antigen-containing phagosomes. {ECO:0000269|PubMed:37347855}.
Garin5a	Fam71e1 Garil5	SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:28930687}.
