Gene Names (primary)	Gene Names (synonym)	Subcellular location [CC]
Aurkb	Aik2 Aim1 Airk2 Ark2 Stk1 Stk12 Stk5	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q96GD4}. Chromosome {ECO:0000250|UniProtKB:Q96GD4}. Chromosome, centromere {ECO:0000250|UniProtKB:Q96GD4}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:Q96GD4}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q96GD4}. Midbody {ECO:0000250|UniProtKB:Q96GD4}. Note=Localizes on chromosome arms and inner centromeres from prophase through metaphase and then transferring to the spindle midzone and midbody from anaphase through cytokinesis. Colocalized with gamma tubulin in the midbody. Proper localization of the active, Thr-237-phosphorylated form during metaphase may be dependent upon interaction with SPDYC. Colocalized with SIRT2 during cytokinesis with the midbody. Localization (and probably targeting of the CPC) to the inner centromere occurs predominantly in regions with overlapping mitosis-specific histone phosphorylations H3pT3 and H2ApT12. {ECO:0000250|UniProtKB:Q96GD4}.
Ninj1		SUBCELLULAR LOCATION: [Ninjurin-1]: Cell membrane {ECO:0000269|PubMed:24917672, ECO:0000269|PubMed:27815839, ECO:0000269|PubMed:31091274, ECO:0000269|PubMed:33472215, ECO:0000269|PubMed:38396301}; Multi-pass membrane protein {ECO:0000255}. Synaptic cell membrane {ECO:0000269|PubMed:27815839}; Multi-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Secreted ninjurin-1]: Secreted {ECO:0000269|PubMed:23142597, ECO:0000269|PubMed:32883094}.
Dhx9	Ddx9	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17303075}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q08211}. Nucleus, nucleolus {ECO:0000269|PubMed:10413677}. Cytoplasm {ECO:0000250|UniProtKB:Q08211}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q08211}. Note=Nucleoplasmic shuttling protein. Its nuclear import involves the nucleocytoplasmic transport receptor Importin alpha/Importin beta receptor pathway in a Ran-dependent manner. In interphase, localizes in nuclear stress granules and at perichromatin fibrils and in cytoplasmic ribonucleoprotein granules. Colocalizes with WRN and H2AX at centrosomes in a microtubule-dependent manner following DNA damaging agent treatment. Excluded from the mitotic nucleus as early as prophase and re-entered the nucleus at telophase. Recruited in diffuse and discrete intranuclear foci (GLFG-body) in a NUP98-dependent manner (By similarity). Colocalizes with SP7 in the nucleus (PubMed:17303075). Colocalizes with ACTB at nuclear actin filaments inside the nucleus or at the nuclear pore. Colocalizes with HNRNPC at nuclear ribonucleoprotein complex proteins in the nucleus. Localized in cytoplasmic mRNP granules containing untranslated mRNAs (By similarity). {ECO:0000250|UniProtKB:Q08211, ECO:0000269|PubMed:17303075}.
Alx3		SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108}.
Mmp8		SUBCELLULAR LOCATION: Cytoplasmic granule. Secreted, extracellular space, extracellular matrix. Note=Stored in intracellular granules and released during inflammatory conditions.
Ncf2	Noxa2 P67phox	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
Tesk1		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q15569}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q63572}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q15569}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:Q63572}. Note=Colocalizes with SPRY4 in vesicular spots in the cytoplasm (By similarity). Localized to F-actin-rich lamellipodia at the cell periphery following fibronectin-mediated cell adhesion of Schwann cells (By similarity). {ECO:0000250|UniProtKB:Q15569, ECO:0000250|UniProtKB:Q63572}.
Dpm1		SUBCELLULAR LOCATION: Endoplasmic reticulum.
Top3a	Top3	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:Q13472}.
Pip5k1c	Kiaa0589	SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein; Cytoplasmic side {ECO:0000250|UniProtKB:Q5I6B8}. Endomembrane system {ECO:0000250|UniProtKB:Q5I6B8}. Cytoplasm {ECO:0000269|PubMed:19153220, ECO:0000269|PubMed:20622009}. Cell junction, focal adhesion {ECO:0000269|PubMed:12422220, ECO:0000269|PubMed:14691141}. Cell junction, adherens junction {ECO:0000250|UniProtKB:O60331}. Cell projection, ruffle membrane {ECO:0000250|UniProtKB:Q5I6B8}. Cell projection, phagocytic cup {ECO:0000269|PubMed:19153220}. Cell projection, uropodium {ECO:0000269|PubMed:17928408}. Note=During directional migration isoform 1 localized at the uropodium, and isoform 3 localized all along cell membrane including the uropodium and the leading edge.
Fcn1	Fcna	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:O00602}. Cell surface {ECO:0000250|UniProtKB:O00602}. Note=Specifically binds carbohydrates on the surface of pathogens. Found on the monocyte and granulocyte surface. {ECO:0000250|UniProtKB:O00602}.
Stmn3	Sclip	SUBCELLULAR LOCATION: Golgi apparatus. Cell projection, growth cone. Cell projection, axon. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9JHU6}.
Pik3c2g		SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:9514948}; Peripheral membrane protein {ECO:0000269|PubMed:9514948}.
Pip4k2a	Pi5p4ka Pip5k2a	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20204506}. Nucleus {ECO:0000250|UniProtKB:P48426}. Lysosome {ECO:0000269|PubMed:29727621}. Cytoplasm {ECO:0000269|PubMed:20204506}. Photoreceptor inner segment {ECO:0000305|PubMed:20204506}. Cell projection, cilium, photoreceptor outer segment {ECO:0000305|PubMed:20204506}. Note=May translocate from the cytosol to the cell membrane upon activation of tyrosine phosphorylation. May translocate from the inner to the outer segments of the rod photoreceptor cells in response to light (PubMed:20204506). Localization to the nucleus is modulated by the interaction with PIP4K2B (By similarity). {ECO:0000250|UniProtKB:P48426, ECO:0000269|PubMed:20204506}.
Chrna4	Acra4	SUBCELLULAR LOCATION: Synaptic cell membrane {ECO:0000305|PubMed:12944511}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000305|PubMed:12944511}; Multi-pass membrane protein {ECO:0000255}.
Adcyap1	Pacap	SUBCELLULAR LOCATION: Secreted.
Atf5	Atfx Nap1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9Y2D1}. Nucleus {ECO:0000269|PubMed:22095825}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q9Y2D1}. Note=Actively transported to the centrosome and accumulated in the pericentriolar material (PCM) during G1 to M phase via a microtubule-dependent mechanism. During late telophase and cytokinesis, translocates from the centrosome to the midbody. {ECO:0000250|UniProtKB:Q9Y2D1}.
Eif3d	Eif3s7	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03003}.
Aif1	Iba1	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10934045}. Cell projection, ruffle membrane {ECO:0000269|PubMed:10934045, ECO:0000269|PubMed:14756805}; Peripheral membrane protein; Cytoplasmic side. Cell projection, phagocytic cup {ECO:0000269|PubMed:10934045, ECO:0000269|PubMed:14756805}. Note=Associated with the actin cytoskeleton at membrane ruffles and at sites of phagocytosis. {ECO:0000269|PubMed:10934045}.
Birc5	Api4 Iap4	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O15392}. Nucleus {ECO:0000250|UniProtKB:O15392}. Chromosome {ECO:0000250|UniProtKB:O15392}. Chromosome, centromere {ECO:0000250|UniProtKB:O15392}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:O15392}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:O15392}. Midbody {ECO:0000250|UniProtKB:O15392}. Note=Localizes at the centromeres from prophase to metaphase, at the spindle midzone during anaphase and a the midbody during telophase and cytokinesis. Accumulates in the nucleus upon treatment with leptomycin B (LMB), a XPO1/CRM1 nuclear export inhibitor (By similarity). Localizes on chromosome arms and inner centromeres from prophase through metaphase. Localizes to kinetochores in metaphase, distributes to the midzone microtubules in anaphase and at telophase, localizes exclusively to the midbody. Colocalizes with AURKB at mitotic chromosomes. Acetylation at Lys-129 directs its localization to the nucleus by enhancing homodimerization and thereby inhibiting XPO1/CRM1-mediated nuclear export (By similarity). {ECO:0000250|UniProtKB:E3SCZ8, ECO:0000250|UniProtKB:O15392}.
Pdlim3		SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere, Z line {ECO:0000250}. Note=Localizes to myofiber Z-lines. {ECO:0000250}.
Foxq1	Hfh1 Hfh1l	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00089}.
Atp9a		SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000269|PubMed:36604604}; Multi-pass membrane protein {ECO:0000255}. Recycling endosome membrane {ECO:0000269|PubMed:36604604}; Multi-pass membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000269|PubMed:36604604}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:O75110}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000250|UniProtKB:O75110}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O75110}. Note=Efficient exit from the endoplasmic reticulum does not require CDC50A, nor CDC50B. Transiently expressed in the cell membrane. {ECO:0000250|UniProtKB:O75110}.
Znf143	Staf Zfp143	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:39708803}. Chromosome {ECO:0000269|PubMed:39708803}. Note=Localizes to chromatin. {ECO:0000269|PubMed:39708803}.
Gfi1b		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12594258}. Note=Localized at foci of pericentric heterochromatin.
Pgam2		
Hmox2		SUBCELLULAR LOCATION: Microsome membrane {ECO:0000250|UniProtKB:P30519}; Single-pass type IV membrane protein {ECO:0000255}; Cytoplasmic side {ECO:0000250|UniProtKB:P09601}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P09601}; Single-pass type IV membrane protein {ECO:0000255}; Cytoplasmic side {ECO:0000250|UniProtKB:P09601}.
Mpzl2	Eva Eva1	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Sgce		SUBCELLULAR LOCATION: Cell membrane, sarcolemma {ECO:0000269|PubMed:17200151}; Single-pass membrane protein {ECO:0000269|PubMed:17200151}. Golgi apparatus {ECO:0000269|PubMed:17200151}. Cell projection, dendrite {ECO:0000269|PubMed:17200151}. Cytoplasm, cytoskeleton {ECO:0000250}.
Lnx1	Lnx	SUBCELLULAR LOCATION: Cytoplasm.
Ptp4a2	Prl2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10747914}. Early endosome {ECO:0000269|PubMed:10747914}. Cytoplasm {ECO:0000269|PubMed:10747914}.
Tpst1		SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:O60507}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:O60507}.
Wnt2b	Wnt13	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:Q93097}. Secreted {ECO:0000250|UniProtKB:Q93097}.
Grk4	Gprk2l	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P32298}. Cytoplasm, cell cortex {ECO:0000250|UniProtKB:P32298}. Note=Both at the cell surface and dispersed in the cytoplasm under basal conditions. Receptor stimulation results in the internalization of GRK4 to the perinuclear area, where colocalization with DRD3 is observed strongly at 5 and 15 minutes. DRD3 and GRK4 colocalize in lipid rafts of renal proximal tubule cells. {ECO:0000250|UniProtKB:P32298}.
Grk6	Gprk6	SUBCELLULAR LOCATION: Membrane; Lipid-anchor.
Cidea		SUBCELLULAR LOCATION: Lipid droplet {ECO:0000269|PubMed:18509062, ECO:0000269|PubMed:20810722, ECO:0000269|PubMed:22144693, ECO:0000269|PubMed:26609809}. Nucleus {ECO:0000269|PubMed:22245780}. Note=Enriched at lipid droplet contact sites (PubMed:18509062, PubMed:22144693). Using a GFP-tagged construct, has been shown to localize to mitochondria, where it could interact with UCP1 and hence inhibit UCP1 uncoupling activity (PubMed:12910269). These data could not be confirmed (PubMed:18509062, PubMed:22245780). {ECO:0000269|PubMed:12910269, ECO:0000269|PubMed:18509062, ECO:0000269|PubMed:22144693, ECO:0000269|PubMed:22245780}.
Cideb		SUBCELLULAR LOCATION: Lipid droplet {ECO:0000269|PubMed:19187774, ECO:0000269|PubMed:26733203}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:19187774, ECO:0000269|PubMed:23297397}; Peripheral membrane protein {ECO:0000269|PubMed:19187774}; Cytoplasmic side {ECO:0000269|PubMed:19187774}. Golgi apparatus {ECO:0000269|PubMed:23297397}. Cytoplasmic vesicle, COPI-coated vesicle {ECO:0000269|PubMed:23297397, ECO:0000269|PubMed:30858281}. Note=Enriched at lipid droplet contact sites. {ECO:0000269|PubMed:26733203}.
Atxn2	Atx2 Sca2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9668173}.
Tbx15	Tbx14 Tbx8	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00201}.
Itgb5		SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.
Nmt1		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P30419}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:P30419}. Membrane {ECO:0000250|UniProtKB:P30419}; Peripheral membrane protein {ECO:0000250|UniProtKB:P30419}. Note=Copurifies with ribosomes. {ECO:0000250|UniProtKB:P30419}.
Epb41l2	Epb4.1l2	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, cell cortex {ECO:0000250|UniProtKB:O43491}. Cell membrane {ECO:0000250|UniProtKB:O43491}.
Slc16a2	Mct8 Xpct	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18687783}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P36021}. Apical cell membrane {ECO:0000269|PubMed:18687783}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P36021}.
Gpx4		SUBCELLULAR LOCATION: [Isoform Mitochondrial]: Mitochondrion {ECO:0000269|PubMed:12566075, ECO:0000269|PubMed:22207760}.; SUBCELLULAR LOCATION: [Isoform Cytoplasmic]: Cytoplasm {ECO:0000269|PubMed:12566075}.; SUBCELLULAR LOCATION: [Isoform Nuclear]: Nucleus {ECO:0000269|PubMed:11344099}.
Grem1	Cktsf1b1 Drm	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Bik	Biklk Blk Nbk	SUBCELLULAR LOCATION: Endomembrane system {ECO:0000250|UniProtKB:Q13323}; Single-pass membrane protein {ECO:0000255}. Mitochondrion membrane {ECO:0000269|PubMed:9525867}; Single-pass membrane protein {ECO:0000255}. Note=Around the nuclear envelope, and in cytoplasmic membranes. {ECO:0000250|UniProtKB:Q13323}.
Npy5r	Npy5	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Ppargc1a	Pgc1 Pgc1a Ppargc1	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22886304, ECO:0000269|PubMed:23217713}. Nucleus, PML body {ECO:0000269|PubMed:22886304}.
Dxo	Dom3z Ng6	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O77932}.
Btnl2	Gm315 Ng9	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
Per3		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10428031, ECO:0000269|PubMed:11591712, ECO:0000269|PubMed:11865049, ECO:0000269|PubMed:14701732}. Nucleus {ECO:0000269|PubMed:10428031, ECO:0000269|PubMed:11591712, ECO:0000269|PubMed:11865049, ECO:0000269|PubMed:14701732}. Note=Mainly cytoplasmic. Translocates to the nucleus through binding PER1, PER2, CRY1 or CRY2, but not TIMELESS. {ECO:0000269|PubMed:10428031, ECO:0000269|PubMed:11591712, ECO:0000269|PubMed:11865049, ECO:0000269|PubMed:14701732}.
Gpld1		SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P80108}. Note=Associated with the High-Density Lipoproteins (HDL). {ECO:0000250|UniProtKB:P80109}.
Ctss	Cats	SUBCELLULAR LOCATION: Lysosome {ECO:0000250|UniProtKB:P25774}. Secreted {ECO:0000250|UniProtKB:P25774}. Cytoplasmic vesicle, phagosome {ECO:0000250|UniProtKB:P25774}.
Tert		SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:O14746}. Nucleus, nucleoplasm {ECO:0000250}. Nucleus. Chromosome, telomere. Cytoplasm {ECO:0000250}. Nucleus, PML body {ECO:0000250}. Note=Shuttling between nuclear and cytoplasm depends on cell cycle, phosphorylation states, transformation and DNA damage. Diffuse localization in the nucleoplasm. Enriched in nucleoli of certain cell types. Translocated to the cytoplasm via nuclear pores in a CRM1/RAN-dependent manner involving oxidative stress-mediated phosphorylation at Tyr-697. Dephosphorylation at this site by SHP2 retains TERT in the nucleus. Translocated to the nucleus by phosphorylation by AKT (By similarity). {ECO:0000250}.
Xirp1	Cmya1 Xin Xin-alpha	SUBCELLULAR LOCATION: Cell junction, adherens junction {ECO:0000250|UniProtKB:Q5PZ43}. Cell junction, desmosome {ECO:0000250|UniProtKB:Q5PZ43}. Cell junction {ECO:0000269|PubMed:23985323}. Note=Colocalizes with actin stress fibers. {ECO:0000250|UniProtKB:Q702N8}.
Cbfa2t2	Cbfa2t2h Mtgr1	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00440}.
Il27ra	Tccr Wsx1	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Pdlim1	Clim1	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11596114}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000250|UniProtKB:O00151}. Note=Associates with the actin stress fibers (PubMed:11596114).
Vamp8		SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:27628032}; Single-pass type IV membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000250|UniProtKB:Q9WUF4}; Single-pass type IV membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000250|UniProtKB:Q9WUF4}; Single-pass type IV membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:22118466}; Single-pass type IV membrane protein {ECO:0000255}. Zymogen granule membrane {ECO:0000269|PubMed:15363411}; Single-pass type IV membrane protein {ECO:0000255}. Note=Perinuclear vesicular structures of the early and late endosomes, coated pits, and trans-Golgi (By similarity). Sub-tight junctional domain in retinal pigment epithelium cells (By similarity). Midbody region during cytokinesis (By similarity). Lumenal oriented, apical membranes of nephric tubular cell (By similarity). Cycles through the apical but not through the basolateral plasma membrane (By similarity). Apical region of acinar cells; in zymogen granule membranes (PubMed:15363411). {ECO:0000250|UniProtKB:Q9WUF4, ECO:0000269|PubMed:15363411, ECO:0000269|PubMed:9614193}.
Ulk1		SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:19258318}. Preautophagosomal structure {ECO:0000269|PubMed:19258318}. Note=Under starvation conditions, is localized to puncate structures primarily representing the isolation membrane that sequesters a portion of the cytoplasm resulting in the formation of an autophagosome.
Fzd1		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15923619}; Multi-pass membrane protein {ECO:0000255}.
Aoc3	Vap1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q16853}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q16853}.
Fhl2		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q14192}. Nucleus {ECO:0000269|PubMed:20013826}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:22851699}.
Psma3		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P25788}. Nucleus {ECO:0000250|UniProtKB:P25788}. Note=Translocated from the cytoplasm into the nucleus following interaction with AKIRIN2, which bridges the proteasome with the nuclear import receptor IPO9. {ECO:0000250|UniProtKB:P25788}.
Stx7	Syn7	SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}.
Gnaz		SUBCELLULAR LOCATION: Membrane; Lipid-anchor.
Bard1		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15077185}. Cytoplasm {ECO:0000269|PubMed:15077185}. Note=Can translocate to the cytoplasm. Localizes at sites of DNA damage at double-strand breaks (DSBs); recruitment to DNA damage sites is mediated by the BRCA1-A complex. {ECO:0000250|UniProtKB:Q99728}.
Slc16a7	Mct2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O60669}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O60669}. Cytoplasm {ECO:0000269|PubMed:21792931}. Basolateral cell membrane {ECO:0000250|UniProtKB:P53988}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O60669}. Note=Requires the ancillary protein, EMB for plasma membrane localization (By similarity). Colocalizes with BSG in spermatozoa. Detected in the cytoplasm of Sertoli cells (PubMed:21792931). {ECO:0000250|UniProtKB:Q63344, ECO:0000269|PubMed:21792931}.
Sfn	Mkrn3	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16710422}. Nucleus {ECO:0000269|PubMed:16710422}. Secreted {ECO:0000250|UniProtKB:P31947}. Note=May be secreted by a non-classical secretory pathway. {ECO:0000250|UniProtKB:P31947}.
Osmr	Osmrb	SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q99650}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q99650}.
Ccl19	Elc Scya19	SUBCELLULAR LOCATION: Secreted.
Mybpc3		
Dok2	Frip	
Ugdh		
Pknox1	Prep1	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Vamp4		SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000305|PubMed:38198890}; Single-pass type IV membrane protein {ECO:0000255}. Note=Associated with trans Golgi network (TGN) and newly formed immature secretory granules (ISG). Not found on the mature secretory organelles. {ECO:0000250|UniProtKB:O75379}.
Ubr1		SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q8IWV7}.
Stra6		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:9203140}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q0V8E7}. Note=In the retinal pigment epithelium localizes to the basolateral membrane (PubMed:22467576, PubMed:24852372). Plasma membrane of the basal pole of Sertoli cells, absent in plasma membrane of neighboring spermatogonia (PubMed:9203140). {ECO:0000250|UniProtKB:Q0V8E7, ECO:0000269|PubMed:22467576, ECO:0000269|PubMed:9203140}.
Snx3		SUBCELLULAR LOCATION: Early endosome {ECO:0000269|PubMed:23416069, ECO:0000269|PubMed:33214242}. Cytoplasmic vesicle, phagosome {ECO:0000250|UniProtKB:O60493}. Note=Colocalizes to clathrin-coated endosomal vesicles morphologically distinct from retromer-decorated non-branched endosomal tubule structures. Colocalizes with EEA1 on nascent phagosomes in dendritic cells but competes with EEA1 for binding to phagosomal membrane (By similarity). {ECO:0000250|UniProtKB:O60493, ECO:0000269|PubMed:23416069}.
Sp3		SUBCELLULAR LOCATION: Nucleus. Nucleus, PML body {ECO:0000250}. Note=Localizes to the nuclear periphery and in nuclear dots when sumoylated. Some localization in PML nuclear bodies (By similarity). {ECO:0000250}.
Clcn7	Clc7	SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:16525474, ECO:0000269|PubMed:31155284}; Multi-pass membrane protein {ECO:0000269|PubMed:16525474}.
Fcn2	Fcnb	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q15485}. Cell surface {ECO:0000250|UniProtKB:Q15485}. Note=Specifically binds carbohydrates on the surface of pathogens. {ECO:0000250|UniProtKB:Q15485}.
Hsd17b12	Kik1	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q53GQ0}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q53GQ0}.
Hcn4	Bcng3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11675786}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9Y3Q4}.
Fgfbp1		SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000250|UniProtKB:Q14512}. Cell membrane {ECO:0000250|UniProtKB:Q14512}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q14512}. Note=Extracellular and plasma membrane-associated. {ECO:0000250|UniProtKB:Q14512}.
Kdm6a	Utx	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Tcap		SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere.
Srpk1		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q96SB4}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q96SB4}. Nucleus matrix {ECO:0000250|UniProtKB:Q96SB4}. Microsome {ECO:0000250|UniProtKB:Q96SB4}. Nucleus speckle {ECO:0000250|UniProtKB:Q96SB4}. Chromosome {ECO:0000250|UniProtKB:Q96SB4}. Note=Shuttles between the nucleus and the cytoplasm (By similarity). Inhibition of the Hsp90 ATPase activity, osmotic stress and interaction with HHV-1 ICP27 protein can induce its translocation to the nucleus (By similarity). KAT5/TIP60 inhibits its nuclear translocation (By similarity). Preferentially localizes to the promoter of gene coding regions (By similarity). {ECO:0000250|UniProtKB:Q96SB4}.
Btg4	Pc3b	
Diaph2	Diap2	
Pigr		SUBCELLULAR LOCATION: [Polymeric immunoglobulin receptor]: Cell membrane {ECO:0000250|UniProtKB:P01833}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Secretory component]: Secreted {ECO:0000250|UniProtKB:P01833}.
Pdk4		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250}.
Smpd2		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:9520418}; Multi-pass membrane protein {ECO:0000255}.
Stag3		SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00750, ECO:0000269|PubMed:22346761}. Chromosome {ECO:0000269|PubMed:22346761}. Chromosome, centromere {ECO:0000269|PubMed:22346761}. Note=Associates with chromatin. In prophase I stage of meiosis, it is found along the axial elements of synaptonemal complexes. In late-pachytene-diplotene, the bulk of protein dissociates from the chromosome arms probably because of phosphorylation by PLK1, except at centromeres, where cohesin complexes remain. It however remains chromatin associated at the centromeres up to metaphase I. During anaphase I, it probably dissociates from centromeres, allowing chromosomes segregation.
Slc22a2	Oct2	SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000250|UniProtKB:Q9R0W2}; Multi-pass membrane protein {ECO:0000305}. Basal cell membrane {ECO:0000250|UniProtKB:O15244}; Multi-pass membrane protein {ECO:0000305}. Apical cell membrane {ECO:0000250|UniProtKB:O15244}; Multi-pass membrane protein {ECO:0000305}.
Cacng1		SUBCELLULAR LOCATION: Cell membrane, sarcolemma {ECO:0000305|PubMed:10799530, ECO:0000305|PubMed:9504716}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P19518}.
