gen,f_pos,f_neg,d,m_pos,m_neg,jadrowy
Xkr4,0.9793804545890477,0.963911712582568,0.01546874200647963,3.170120176373959,2.4677140741959365,False
Gm1992,0.6501390620504459,0.5445464797808925,0.10559258226955337,0.3940576112227608,0.28034763106251753,False
Gm37381,0.014098014769348806,0.014821975189302401,-0.0007239604199535954,0.0,0.0,False
Rp1,0.09187685815670854,0.09038182696955051,0.001495031187158033,0.0,0.0,False
Mrpl15,0.3274192001534478,0.3378443692605123,-0.010425169107064536,0.0,0.0,False
Lypla1,0.015536587704996644,0.015627517319155793,-9.09296141591489e-05,0.0,0.0,False
Gm37988,0.09705572072504076,0.09279845335911067,0.004257267365930087,0.0,0.0,False
Tcea1,0.5698666922412966,0.5625906234896085,0.0072760687516880695,0.28618035085711013,0.28922631959508316,False
Rgs20,0.17751990025894313,0.1640083776381505,0.013511522620792638,0.0,0.0,False
Atp6v1h,0.7930373069914645,0.7704204929917835,0.022616813999680963,0.6343768833063723,0.6120700208103808,False
Rb1cc1,0.7932291167162175,0.77670372160464,0.01652539511157758,0.6210022977085015,0.6096259944524034,False
4732440D04Rik,0.2730411431859595,0.27839536007733207,-0.005354216891372554,0.0,0.0,False
St18,0.0878488539368946,0.0948928628967295,-0.00704400895983491,0.0,0.0,False
Pcmtd1,0.8922029346887888,0.8706299339455453,0.02157300074324342,1.011326860841424,0.9619084263178146,False
Gm26901,0.37038457849812984,0.30352827452875786,0.06685630396937198,0.0,0.0,False
Sntg1,0.9039033278987245,0.8198807797647817,0.08402254813394283,2.1193924408336278,1.1432055483575947,False
Rrs1,0.15114606310539944,0.1333977767037216,0.017748286401677832,0.0,0.0,False
Adhfe1,0.18749400594610147,0.19590784598034477,-0.008413840034243308,0.0,0.0,False
Mybl1,0.03769061091397334,0.03399387787981312,0.003696733034160224,0.0,0.0,False
Vcpip1,0.373165819507049,0.36555501852746897,0.007610800979580057,0.0,0.0,False
1700034P13Rik,0.060036443847703076,0.06089898501691639,-0.0008625411692133114,0.0,0.0,False
Sgk3,0.16236693200345256,0.24117931367810536,-0.07881238167465279,0.0,0.0,False
Mcmdc2,0.35072408171094277,0.3301111648139198,0.020612916897022993,0.0,0.0,False
Snhg6,0.14299414980339503,0.13613661994522314,0.006857529858171896,0.0,0.0,False
Tcf24,0.03356670183178287,0.030932817786370227,0.002633884045412642,0.0,0.0,False
Ppp1r42,0.03558070394168984,0.0333494441759304,0.0022312597657594413,0.0,0.0,False
Gm15818,0.23650139062050446,0.2253906879329789,0.011110702687525564,0.0,0.0,False
Cops5,0.4545890476647166,0.41775414854196874,0.036834899122747844,0.0,0.0,False
Cspp1,0.8992998945046514,0.9010794264540035,-0.0017795319493520978,1.0861006272231122,1.1587485515643106,False
Arfgef1,0.8149036156133116,0.8195585629128403,-0.0046549472995287555,0.692105384579892,0.7484749822237191,False
Cpa6,0.20140021099069721,0.27855646850330273,-0.07715625751260552,0.0,0.0,False
Prex2,0.0819027524695502,0.06927662316739165,0.012626129302158548,0.0,0.0,False
A830018L16Rik,0.16342188548959433,0.16271951023038506,0.0007023752592092702,0.0,0.0,False
Sulf1,0.043444902656564685,0.04752698566135009,-0.0040820830047854015,0.0,0.0,False
Slco5a1,0.176944471084684,0.17254712421459642,0.004397346870087582,0.0,0.0,False
Ncoa2,0.9415939388126978,0.9432898340583212,-0.0016958952456234133,1.5780337699226763,1.546511328195479,False
Gm29570,0.029442792749592404,0.032705010472047685,-0.003262217722455281,0.0,0.0,False
Tram1,0.2959624052939484,0.24697921701304978,0.04898318828089862,0.0,0.0,False
Lactb2,0.5423419967392347,0.5316578057032383,0.010684191035996382,0.2676516246453616,0.2562656962738968,False
Eya1,0.0486237652248969,0.011922023521830192,0.036701741703066705,0.0,0.0,False
Kcnb2,0.12122374604392443,0.10278717576929274,0.018436570274631692,0.0,0.0,False
Terf1,0.5334228445382181,0.5158691799581118,0.01755366458010632,0.2532030181799767,0.22687569480681535,False
Sbspon,0.03356670183178287,0.028355082970839374,0.005211618860943495,0.0,0.0,False
