gen,wysoki_w,frakcja_cel,frakcja_reszta,roznica,med_cel,med_reszta
Cux2,Aldoc+,0.9495540423899491,0.24665700016110842,0.7028970422288408,2.345765892563922,0.0
Aldoc,Aldoc+,0.9724753044979381,0.40534879974222654,0.5671265047557115,4.647128074849743,0.0
Cpne9,Aldoc+,0.929701735878009,0.3757048493636217,0.5539968865143873,1.549907005579665,0.0
Wscd2,Aldoc+,0.8745564400115086,0.33848880296439504,0.5360676370471136,1.1629259216187928,0.0
Camk2d,Aldoc+,0.9191522010165916,0.4113098115031416,0.50784238951345,1.3776634827332843,0.0
