subclass,n,Ebf1_mean,Ebf1_pct,Ebf2_mean,Ebf2_pct,Ebf3_mean,Ebf3_pct,Calb1_mean,Calb1_pct,Calb2_mean,Calb2_pct,Ppp1r17_mean,Ppp1r17_pct,Sorcs3_mean,Sorcs3_pct,Nxph1_mean,Nxph1_pct,Aqp4_mean,Aqp4_pct,Grm1_mean,Grm1_pct,Eomes_mean,Eomes_pct
265 PB Sst Gly-Gaba,34,0.90036786,50.0,0.8257636,55.88235294117647,2.54795,91.17647058823529,1.060715,64.70588235294117,2.8837519,85.29411764705883,0.34736276,26.47058823529412,1.3075376,61.76470588235294,1.098804,52.94117647058824,2.254358,91.17647058823529,1.6876554,85.29411764705883,0.05098084,5.88235294117647
278 NLL Gata3 Gly-Gaba,33,0.28476134,30.303030303030305,0.14664964,15.151515151515152,0.5203913,45.45454545454545,0.7782377,54.54545454545454,0.40375692,33.33333333333333,0.19824336,18.181818181818183,1.0155199,60.60606060606061,2.4666455,84.84848484848484,2.684878,96.96969696969697,1.8628417,75.75757575757575,0.07902645,6.0606060606060606
238 NTS Phox2b Glut,33,0.6846053,39.39393939393939,0.04810269,6.0606060606060606,0.39313456,21.21212121212121,3.5298147,90.9090909090909,2.0668821,87.87878787878788,1.3761743,75.75757575757575,0.8661522,48.484848484848484,0.8131144,48.484848484848484,2.2176769,90.9090909090909,1.1685234,81.81818181818183,0.10856657,9.090909090909092
248 MV-SPIV Zic4 Neurod2 Glut,32,0.63933843,50.0,0.4664161,43.75,2.56524,90.625,0.81662846,59.375,1.311708,65.625,0.5014993,43.75,0.5883544,43.75,1.8097416,84.375,2.3262608,100.0,2.2727222,93.75,0.04504229,6.25
337 DC NN,32,0.39583445,28.125,0.070784815,3.125,0.03780775,3.125,0.69315875,46.875,0.3197624,25.0,0.29645067,25.0,0.0,0.0,0.0,0.0,1.2191556,56.25,0.121592425,12.5,0.0,0.0
264 PRNc Otp Gly-Gaba,30,0.5211708,43.333333333333336,0.6058901,40.0,1.1612228,80.0,0.64059,56.666666666666664,1.1474767,66.66666666666666,0.28825018,26.666666666666668,0.891592,63.33333333333333,1.2234231,66.66666666666666,1.8450974,93.33333333333333,2.4282262,90.0,0.023298101,3.3333333333333335
182 CUN-PPN Evx2 Meis2 Glut,28,0.41127557,35.714285714285715,0.5207689,32.142857142857146,1.3241664,78.57142857142857,0.5869401,46.42857142857143,3.0040402,96.42857142857143,0.37671307,35.714285714285715,2.1921775,85.71428571428571,0.990838,67.85714285714286,1.9008793,96.42857142857143,1.7654508,85.71428571428571,0.03020146,3.571428571428571
170 PAG-MRN Tfap2b Glut,24,0.41826543,41.66666666666667,0.2853672,29.166666666666668,3.6186619,100.0,1.2622904,70.83333333333334,2.8094723,91.66666666666666,0.34220418,37.5,1.7120876,83.33333333333334,0.31636545,29.166666666666668,1.9354006,100.0,1.2859757,83.33333333333334,0.029143585,4.166666666666666
244 MV-SPIV Slc6a2 Glut,21,0.45033976,47.61904761904761,0.2217768,23.809523809523807,1.2971919,80.95238095238095,1.244768,90.47619047619048,1.129552,66.66666666666666,1.1394262,80.95238095238095,0.18055983,19.047619047619047,2.5470455,95.23809523809523,3.401076,100.0,2.407826,95.23809523809523,0.15281944,19.047619047619047
243 PGRN-PARN-MDRN Hoxb5 Glut,17,0.6455547,47.05882352941176,0.34684166,17.647058823529413,2.0607347,88.23529411764706,1.092865,47.05882352941176,2.2806046,82.35294117647058,0.6841426,52.94117647058824,1.865893,76.47058823529412,2.5885625,100.0,2.2561455,100.0,2.4799802,100.0,0.25965202,29.411764705882355
